name:鹏都农牧 日期:2023/12/1 0:00:00 diverTimes:8 流通市值:112.82亿,
name:凯美特气 日期:2023/12/1 0:00:00 diverTimes:6 流通市值:67.66亿,
name:汇源通信 日期:2023/12/1 0:00:00 diverTimes:9 流通市值:26.1亿,
name:天顺风能 日期:2023/11/28 0:00:00 diverTimes:8 流通市值:220.3亿,
name:国盛金控 日期:2023/11/28 0:00:00 diverTimes:8 涨幅:0.53% 流通市值:152.92亿,
name:招商轮船 日期:2023/11/21 0:00:00 diverTimes:11 涨幅:2.17% 流通市值:487.8亿,
name:上汽集团 日期:2023/11/15 0:00:00 diverTimes:6 涨幅:7.87% 流通市值:1736.16亿,
name:继峰股份 日期:2023/11/14 0:00:00 diverTimes:6 涨幅:5.22% 流通市值:160.11亿,
name:绝味食品 日期:2023/11/14 0:00:00 diverTimes:6 涨幅:1.17% 流通市值:195.24亿,
name:江苏国信 日期:2023/11/10 0:00:00 diverTimes:8 涨幅:2.06% 流通市值:254.64亿,
name:重庆水务 日期:2023/11/10 0:00:00 diverTimes:6 涨幅:7.34% 流通市值:277.44亿,
name:首钢股份 日期:2023/11/9 0:00:00 diverTimes:8 涨幅:3.01% 流通市值:220.09亿,
name:海信家电 日期:2023/11/7 0:00:00 diverTimes:6 涨幅:2.29% 流通市值:196.91亿,
name:汇通集团 日期:2023/11/3 0:00:00 diverTimes:6 涨幅:6.54% 流通市值:9.46亿,
name:中化岩土 日期:2023/11/3 0:00:00 diverTimes:6 涨幅:5.04% 流通市值:41.67亿,
name:华星创业 日期:2023/10/30 0:00:00 diverTimes:9 涨幅:22.67% 流通市值:45.62亿,
name:星宇股份 日期:2023/10/27 0:00:00 diverTimes:6 涨幅:6.23% 流通市值:412.52亿,
name:亿帆医药 日期:2023/10/26 0:00:00 diverTimes:8 涨幅:37.41% 流通市值:141.23亿,
name:海正药业 日期:2023/10/26 0:00:00 diverTimes:8 涨幅:5.63% 流通市值:115.92亿,
name:正海生物 日期:2023/10/26 0:00:00 diverTimes:8 涨幅:17.05% 流通市值:56.27亿,
name:艾德生物 日期:2023/10/26 0:00:00 diverTimes:8 涨幅:16.92% 流通市值:88.02亿,
name:中国长城 日期:2023/10/25 0:00:00 diverTimes:7 涨幅:18.18% 流通市值:355.27亿,
name:恒帅股份 日期:2023/10/25 0:00:00 diverTimes:8 涨幅:77.02% 流通市值:19.5亿,
name:普洛药业 日期:2023/10/25 0:00:00 diverTimes:6 涨幅:12.96% 流通市值:193.79亿,
name:立中集团 日期:2023/10/25 0:00:00 diverTimes:8 涨幅:9.93% 流通市值:113.56亿,
name:鼎信通讯 日期:2023/10/25 0:00:00 diverTimes:7 涨幅:12.71% 流通市值:65.55亿,
name:长飞光纤 日期:2023/10/25 0:00:00 diverTimes:8 涨幅:6.5% 流通市值:119.46亿,
name:睿智医药 日期:2023/10/25 0:00:00 diverTimes:7 涨幅:13.02% 流通市值:43.4亿,
name:杭叉集团 日期:2023/10/25 0:00:00 diverTimes:9 涨幅:8.97% 流通市值:206.3亿,
name:大东方 日期:2023/10/25 0:00:00 diverTimes:6 涨幅:41.1% 流通市值:50.43亿,
name:京东方A 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:9.19% 流通市值:1441.99亿,
name:陇神戎发 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:35.68% 流通市值:32.44亿,
name:复星医药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:6.92% 流通市值:592.54亿,
name:闻泰科技 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:25.7% 流通市值:601.77亿,
name:奥维通信 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:11.95% 流通市值:20.61亿,
name:科瑞技术 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:21.04% 流通市值:74.75亿,
name:长江健康 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:11.72% 流通市值:56.64亿,
name:东方国信 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:16.68% 流通市值:95.89亿,
name:冰山冷热 日期:2023/10/24 0:00:00 diverTimes:9 涨幅:22.02% 流通市值:33.78亿,
name:上海凯宝 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:19.94% 流通市值:66.38亿,
name:以岭药业 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:26.22% 流通市值:342.41亿,
name:金徽股份 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:11.14% 流通市值:20.48亿,
name:安科生物 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:12.65% 流通市值:129.75亿,
name:太辰光 日期:2023/10/24 0:00:00 diverTimes:8 涨幅:22.62% 流通市值:70.48亿,
name:佐力药业 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:14.14% 流通市值:63.23亿,
name:神州泰岳 日期:2023/10/24 0:00:00 diverTimes:8 涨幅:17.38% 流通市值:171.55亿,
name:富通信息 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:31.18% 流通市值:35.77亿,
name:博济医药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:36.05% 流通市值:26.39亿,
name:宇环数控 日期:2023/10/24 0:00:00 diverTimes:8 涨幅:52.17% 流通市值:23.11亿,
name:道明光学 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:17.87% 流通市值:44.08亿,
name:万讯自控 日期:2023/10/24 0:00:00 diverTimes:9 涨幅:16.56% 流通市值:25.41亿,
name:贵州百灵 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:9.78% 流通市值:98.93亿,
name:誉衡药业 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:47.2% 流通市值:58.5亿,
name:新朋股份 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:9.39% 流通市值:35.89亿,
name:岱勒新材 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:31.45% 流通市值:30.73亿,
name:千金药业 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:17.52% 流通市值:48.38亿,
name:东北制药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:22.7% 流通市值:78.06亿,
name:香雪制药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:26.47% 流通市值:37.93亿,
name:金花股份 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:12.41% 流通市值:29.6亿,
name:信邦制药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:10.86% 流通市值:89.86亿,
name:金石亚药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:20.27% 流通市值:40.82亿,
name:金陵药业 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:13.42% 流通市值:43.03亿,
name:迪瑞医疗 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:49.52% 流通市值:83.8亿,
name:利柏特 日期:2023/10/24 0:00:00 diverTimes:11 涨幅:9.74% 流通市值:19.85亿,
name:瑞玛精密 日期:2023/10/24 0:00:00 diverTimes:10 涨幅:32.05% 流通市值:22.44亿,
name:立高食品 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:7.14% 流通市值:38.3亿,
name:正海磁材 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:10.36% 流通市值:95.92亿,
name:沃华医药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:14.5% 流通市值:38.11亿,
name:金城医药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:13.83% 流通市值:65.54亿,
name:合锻智能 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:25.69% 流通市值:39.11亿,
name:光正眼科 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:14.04% 流通市值:34.65亿,
name:华北制药 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:23.79% 流通市值:103.39亿,
name:万孚生物 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:30.24% 流通市值:104.65亿,
name:胜宏科技 日期:2023/10/24 0:00:00 diverTimes:7 涨幅:16.83% 流通市值:168.6亿,
name:舒泰神 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:46.64% 流通市值:55.32亿,
name:济民医疗 日期:2023/10/24 0:00:00 diverTimes:6 涨幅:8.72% 流通市值:48.89亿,
